Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2020-07-24,Washington Nationals,New York Yankees,1,4,A,2.48,1.57,2020
2020-07-24,Los Angeles Dodgers,San Francisco Giants,8,1,H,1.35,3.30,2020
2020-07-25,New York Mets,Atlanta Braves,1,0,H,1.57,2.47,2020
2020-07-25,Cincinnati Reds,Detroit Tigers,7,1,H,1.56,2.51,2020
2020-07-25,Tampa Bay Rays,Toronto Blue Jays,4,6,A,1.68,2.26,2020
2020-07-25,Philadelphia Phillies,Miami Marlins,2,5,A,1.48,2.74,2020
2020-07-25,Cleveland Guardians,Kansas City Royals,2,0,H,1.43,2.94,2020
2020-07-25,Chicago Cubs,Milwaukee Brewers,3,0,H,1.85,1.98,2020
2020-07-25,Boston Red Sox,Baltimore Orioles,13,2,H,1.44,2.88,2020
2020-07-25,Texas Rangers,Colorado Rockies,1,0,H,1.88,1.94,2020
2020-07-25,Chicago White Sox,Minnesota Twins,5,10,A,1.96,1.88,2020
2020-07-25,St.Louis Cardinals,Pittsburgh Pirates,5,4,H,1.52,2.62,2020
2020-07-25,San Diego Padres,Arizona Diamondbacks,7,2,H,1.67,2.26,2020
2020-07-25,Houston Astros,Seattle Mariners,8,2,H,1.32,3.51,2020
2020-07-25,Los Angeles Dodgers,San Francisco Giants,9,1,H,1.28,3.78,2020
2020-07-25,Athletics,Los Angeles Angels,7,3,H,1.68,2.25,2020
2020-07-26,Chicago Cubs,Milwaukee Brewers,3,8,A,1.64,2.31,2020
2020-07-26,Boston Red Sox,Baltimore Orioles,2,7,A,1.47,2.77,2020
2020-07-26,Chicago White Sox,Minnesota Twins,10,3,H,1.98,1.85,2020
2020-07-26,St.Louis Cardinals,Pittsburgh Pirates,9,1,H,1.62,2.34,2020
2020-07-26,Tampa Bay Rays,Toronto Blue Jays,4,1,H,1.67,2.26,2020
2020-07-26,Texas Rangers,Colorado Rockies,2,3,A,1.79,2.06,2020
2020-07-26,Philadelphia Phillies,Miami Marlins,7,1,H,1.56,2.51,2020
2020-07-26,New York Mets,Atlanta Braves,3,5,A,2.02,1.83,2020
2020-07-26,Los Angeles Dodgers,San Francisco Giants,4,5,A,1.23,4.41,2020
2020-07-26,Houston Astros,Seattle Mariners,7,2,H,1.33,3.44,2020
2020-07-26,Athletics,Los Angeles Angels,1,4,A,1.78,2.08,2020
2020-07-26,Cleveland Guardians,Kansas City Royals,2,3,A,1.38,3.16,2020
2020-07-26,Cincinnati Reds,Detroit Tigers,4,6,A,1.36,3.28,2020
2020-07-26,Washington Nationals,New York Yankees,9,2,H,2.85,1.45,2020
2020-07-26,San Diego Padres,Arizona Diamondbacks,5,1,H,1.77,2.09,2020
2020-07-27,Washington Nationals,New York Yankees,2,3,A,2.04,1.83,2020
2020-07-27,Philadelphia Phillies,Miami Marlins,6,11,A,1.46,2.80,2020
2020-07-27,Tampa Bay Rays,Toronto Blue Jays,6,5,H,1.52,2.65,2020
2020-07-27,Cleveland Guardians,Kansas City Royals,9,2,H,1.42,2.99,2020
2020-07-27,Cincinnati Reds,Detroit Tigers,2,3,A,1.50,2.68,2020
2020-07-27,Boston Red Sox,Baltimore Orioles,4,7,A,1.49,2.73,2020
2020-07-27,Houston Astros,Seattle Mariners,6,7,A,1.34,3.40,2020
2020-07-27,Chicago White Sox,Minnesota Twins,2,14,A,2.35,1.63,2020
2020-07-27,St.Louis Cardinals,Pittsburgh Pirates,1,5,A,1.66,2.27,2020
2020-07-27,Chicago Cubs,Milwaukee Brewers,9,1,H,1.90,1.93,2020
2020-07-27,Texas Rangers,Colorado Rockies,2,5,A,1.66,2.27,2020
2020-07-27,San Diego Padres,Arizona Diamondbacks,3,4,A,1.76,2.10,2020
2020-07-27,Athletics,Los Angeles Angels,6,4,H,1.88,1.95,2020
2020-07-27,New York Mets,Atlanta Braves,1,14,A,1.89,1.94,2020
2020-07-27,Los Angeles Dodgers,San Francisco Giants,1,3,A,1.31,3.53,2020
2020-07-28,Athletics,Los Angeles Angels,3,0,H,1.78,2.05,2020
2020-07-28,San Diego Padres,Arizona Diamondbacks,6,2,H,1.81,2.04,2020
2020-07-28,Washington Nationals,Toronto Blue Jays,1,4,A,1.80,2.06,2020
2020-07-28,Tampa Bay Rays,Atlanta Braves,14,5,H,1.69,2.21,2020
2020-07-28,Cincinnati Reds,Chicago Cubs,7,8,A,1.99,1.84,2020
2020-07-28,Pittsburgh Pirates,Milwaukee Brewers,5,6,A,2.51,1.56,2020
2020-07-28,Houston Astros,Seattle Mariners,8,5,H,1.40,3.08,2020
2020-07-28,Detroit Tigers,Kansas City Royals,6,14,A,1.77,2.11,2020
2020-07-28,Boston Red Sox,New York Mets,4,7,A,2.00,1.84,2020
2020-07-29,Cleveland Guardians,Chicago White Sox,4,3,H,1.75,2.11,2020
2020-07-29,Washington Nationals,Toronto Blue Jays,1,5,A,1.69,2.22,2020
2020-07-29,Tampa Bay Rays,Atlanta Braves,5,2,H,1.69,2.22,2020
2020-07-29,Cleveland Guardians,Chicago White Sox,5,3,H,1.79,2.08,2020
2020-07-29,Cincinnati Reds,Chicago Cubs,5,8,A,1.76,2.11,2020
2020-07-29,Pittsburgh Pirates,Milwaukee Brewers,8,6,H,2.63,1.52,2020
2020-07-29,Detroit Tigers,Kansas City Royals,4,3,H,1.89,1.94,2020
2020-07-29,Boston Red Sox,New York Mets,3,8,A,2.03,1.82,2020
2020-07-29,Minnesota Twins,St.Louis Cardinals,6,3,H,1.68,2.24,2020
2020-07-29,Texas Rangers,Arizona Diamondbacks,1,4,A,1.89,1.93,2020
2020-07-29,Houston Astros,Los Angeles Dodgers,2,5,A,2.26,1.67,2020
2020-07-29,Los Angeles Angels,Seattle Mariners,10,2,H,1.55,2.53,2020
2020-07-29,Athletics,Colorado Rockies,3,8,A,1.61,2.40,2020
2020-07-29,San Francisco Giants,San Diego Padres,3,5,A,2.29,1.66,2020
2020-07-30,Athletics,Colorado Rockies,1,5,A,1.67,2.25,2020
2020-07-30,Texas Rangers,Arizona Diamondbacks,7,4,H,1.80,2.04,2020
2020-07-30,Toronto Blue Jays,Washington Nationals,0,4,A,2.49,1.57,2020
2020-07-30,Cleveland Guardians,Chicago White Sox,0,4,A,1.99,1.84,2020
2020-07-30,Cincinnati Reds,Chicago Cubs,12,7,H,1.88,1.95,2020
2020-07-30,Pittsburgh Pirates,Milwaukee Brewers,0,3,A,2.27,1.66,2020
2020-07-30,New York Mets,Boston Red Sox,5,6,A,1.48,2.73,2020
2020-07-30,Houston Astros,Los Angeles Dodgers,2,4,A,2.29,1.66,2020
2020-07-30,Detroit Tigers,Kansas City Royals,5,4,H,1.77,2.09,2020
2020-07-30,Atlanta Braves,Tampa Bay Rays,7,4,H,1.78,2.07,2020
2020-07-30,Baltimore Orioles,New York Yankees,3,9,A,3.75,1.30,2020
2020-07-30,Minnesota Twins,St.Louis Cardinals,3,0,H,1.59,2.43,2020
2020-07-30,San Francisco Giants,San Diego Padres,7,6,H,2.66,1.50,2020
2020-07-30,Los Angeles Angels,Seattle Mariners,7,10,A,1.37,3.23,2020
2020-07-31,Toronto Blue Jays,Washington Nationals,4,6,A,1.64,2.30,2020
2020-07-31,Baltimore Orioles,New York Yankees,6,8,A,3.09,1.39,2020
2020-07-31,New York Mets,Boston Red Sox,2,4,A,1.60,2.40,2020
2020-07-31,Minnesota Twins,Cleveland Guardians,0,2,A,1.82,2.01,2020
2020-07-31,Detroit Tigers,Kansas City Royals,3,5,A,2.28,1.66,2020
2020-07-31,Atlanta Braves,Tampa Bay Rays,2,1,H,1.64,2.32,2020
2020-07-31,Los Angeles Angels,Seattle Mariners,5,8,A,1.55,2.54,2020
2020-07-31,Arizona Diamondbacks,Los Angeles Dodgers,3,6,A,2.37,1.61,2020
2020-07-31,San Francisco Giants,San Diego Padres,7,12,A,2.46,1.58,2020
2020-08-01,New York Yankees,Boston Red Sox,5,1,H,1.52,2.66,2020
2020-08-01,Detroit Tigers,Cincinnati Reds,7,2,H,2.53,1.57,2020
2020-08-01,Atlanta Braves,New York Mets,11,10,H,1.72,2.19,2020
2020-08-01,Baltimore Orioles,Tampa Bay Rays,6,3,H,2.72,1.50,2020
2020-08-01,Kansas City Royals,Chicago White Sox,2,3,A,2.46,1.59,2020
2020-08-01,Minnesota Twins,Cleveland Guardians,4,1,H,1.98,1.89,2020
2020-08-01,Colorado Rockies,San Diego Padres,7,8,A,1.97,1.90,2020
2020-08-01,Chicago Cubs,Pittsburgh Pirates,6,3,H,1.50,2.74,2020
2020-08-01,San Francisco Giants,Texas Rangers,9,2,H,2.08,1.80,2020
2020-08-01,Los Angeles Angels,Houston Astros,6,9,A,2.59,1.55,2020
2020-08-01,Seattle Mariners,Athletics,5,3,H,2.63,1.53,2020
2020-08-01,Arizona Diamondbacks,Los Angeles Dodgers,5,3,H,2.18,1.74,2020
2020-08-02,Kansas City Royals,Chicago White Sox,5,11,A,2.16,1.74,2020
2020-08-02,New York Yankees,Boston Red Sox,5,2,H,1.51,2.66,2020
2020-08-02,Los Angeles Angels,Houston Astros,5,4,H,2.29,1.65,2020
2020-08-02,Minnesota Twins,Cleveland Guardians,3,0,H,1.78,2.10,2020
2020-08-02,Atlanta Braves,New York Mets,7,1,H,1.83,2.01,2020
2020-08-02,Baltimore Orioles,Tampa Bay Rays,5,4,H,3.01,1.42,2020
2020-08-02,Colorado Rockies,San Diego Padres,6,1,H,1.95,1.89,2020
2020-08-02,Arizona Diamondbacks,Los Angeles Dodgers,2,11,A,2.38,1.62,2020
2020-08-02,Chicago Cubs,Pittsburgh Pirates,4,3,H,1.53,2.60,2020
2020-08-02,Seattle Mariners,Athletics,2,3,A,2.29,1.66,2020
2020-08-02,San Francisco Giants,Texas Rangers,7,3,H,1.82,2.04,2020
2020-08-03,Detroit Tigers,Cincinnati Reds,3,4,A,2.28,1.66,2020
2020-08-03,Baltimore Orioles,Tampa Bay Rays,5,1,H,2.76,1.48,2020
2020-08-03,Atlanta Braves,New York Mets,4,0,H,1.80,2.06,2020
2020-08-03,Kansas City Royals,Chicago White Sox,2,9,A,2.05,1.82,2020
2020-08-03,Minnesota Twins,Cleveland Guardians,3,1,H,1.82,2.04,2020
2020-08-03,Chicago Cubs,Pittsburgh Pirates,2,1,H,1.53,2.60,2020
2020-08-03,Detroit Tigers,Cincinnati Reds,0,4,A,2.45,1.57,2020
2020-08-03,Colorado Rockies,San Diego Padres,9,6,H,2.02,1.83,2020
2020-08-03,San Francisco Giants,Texas Rangers,5,9,A,1.86,1.98,2020
2020-08-03,Seattle Mariners,Athletics,2,3,A,2.45,1.59,2020
2020-08-03,Los Angeles Angels,Houston Astros,5,6,A,2.28,1.67,2020
2020-08-03,Arizona Diamondbacks,Los Angeles Dodgers,0,3,A,2.64,1.52,2020
2020-08-03,New York Yankees,Boston Red Sox,9,7,H,1.45,2.87,2020
2020-08-04,Cincinnati Reds,Cleveland Guardians,3,2,H,1.63,2.22,2020
2020-08-04,New York Yankees,Philadelphia Phillies,6,3,H,1.33,3.45,2020
2020-08-04,Atlanta Braves,New York Mets,2,7,A,2.08,1.78,2020
2020-08-04,Minnesota Twins,Pittsburgh Pirates,5,4,H,1.45,2.85,2020
2020-08-04,Milwaukee Brewers,Chicago White Sox,4,6,A,1.86,1.99,2020
2020-08-04,Chicago Cubs,Kansas City Royals,2,0,H,1.61,2.41,2020
2020-08-04,Colorado Rockies,San Francisco Giants,7,6,H,1.76,2.11,2020
2020-08-04,Seattle Mariners,Athletics,1,11,A,2.57,1.55,2020
2020-08-04,San Diego Padres,Los Angeles Dodgers,5,4,H,2.16,1.73,2020
2020-08-05,Minnesota Twins,Pittsburgh Pirates,7,3,H,1.49,2.73,2020
2020-08-05,Cincinnati Reds,Cleveland Guardians,2,4,A,2.42,1.60,2020
2020-08-05,Tampa Bay Rays,Boston Red Sox,5,1,H,1.70,2.22,2020
2020-08-05,Washington Nationals,New York Mets,5,3,H,1.61,2.40,2020
2020-08-05,Atlanta Braves,Toronto Blue Jays,10,1,H,1.54,2.58,2020
2020-08-05,Baltimore Orioles,Miami Marlins,0,4,A,1.82,2.04,2020
2020-08-05,Milwaukee Brewers,Chicago White Sox,2,3,A,1.73,2.16,2020
2020-08-05,Chicago Cubs,Kansas City Royals,5,4,H,1.45,2.85,2020
2020-08-05,Colorado Rockies,San Francisco Giants,5,2,H,1.54,2.57,2020
2020-08-05,San Diego Padres,Los Angeles Dodgers,2,5,A,2.04,1.82,2020
2020-08-05,Athletics,Texas Rangers,5,1,H,1.60,2.42,2020
2020-08-05,Arizona Diamondbacks,Houston Astros,2,8,A,2.22,1.70,2020
2020-08-05,Seattle Mariners,Los Angeles Angels,3,5,A,2.65,1.52,2020
2020-08-06,New York Yankees,Philadelphia Phillies,7,11,A,1.86,1.93,2020
2020-08-06,Baltimore Orioles,Miami Marlins,0,1,A,1.77,2.05,2020
2020-08-06,Washington Nationals,New York Mets,1,3,A,1.42,3.01,2020
2020-08-06,Tampa Bay Rays,Boston Red Sox,0,5,A,1.63,2.36,2020
2020-08-06,Pittsburgh Pirates,Minnesota Twins,2,5,A,2.48,1.57,2020
