Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2017-08-12,Arsenal,Leicester,4,3,H,1.49,6.78,2017
2017-08-12,Watford,Liverpool,3,3,D,6.53,1.56,2017
2017-08-12,West Brom,Bournemouth,1,0,H,2.59,2.98,2017
2017-08-12,Southampton,Swansea,0,0,D,1.6,6.29,2017
2017-08-12,Everton,Stoke,1,0,H,1.8,5.27,2017
2017-08-12,Crystal Palace,Huddersfield,0,3,A,1.81,4.98,2017
2017-08-12,Chelsea,Burnley,2,3,A,1.3,12.12,2017
2017-08-13,Brighton,Manchester City,0,2,A,11.06,1.3,2017
2017-08-13,Newcastle,Tottenham,0,2,A,4.88,1.76,2017
2017-08-14,Manchester Utd,West Ham,4,0,H,1.31,11.5,2017
2017-08-19,Swansea,Manchester Utd,0,4,A,10.69,1.35,2017
2017-08-19,Southampton,West Ham,3,2,H,1.71,5.12,2017
2017-08-19,Liverpool,Crystal Palace,1,0,H,1.38,8.74,2017
2017-08-19,Leicester,Brighton,2,0,H,1.74,5.34,2017
2017-08-19,Burnley,West Brom,0,1,A,2.61,3.06,2017
2017-08-19,Bournemouth,Watford,0,2,A,2.04,3.82,2017
2017-08-20,Stoke,Arsenal,1,0,H,4.27,1.88,2017
2017-08-20,Huddersfield,Newcastle,1,0,H,2.8,2.78,2017
2017-08-21,Tottenham,Chelsea,1,2,A,2.14,3.72,2017
2017-08-22,Manchester City,Everton,1,1,D,1.3,10.96,2017
2017-08-26,Bournemouth,Manchester City,1,2,A,11.28,1.26,2017
2017-08-26,Watford,Brighton,0,0,D,2.16,3.76,2017
2017-08-26,Newcastle,West Ham,3,0,H,2.36,3.21,2017
2017-08-26,Huddersfield,Southampton,0,0,D,4.11,1.97,2017
2017-08-26,Crystal Palace,Swansea,0,2,A,2.05,4.07,2017
2017-08-27,Manchester Utd,Leicester,2,0,H,1.31,10.49,2017
2017-08-27,West Brom,Stoke,1,1,D,2.52,3.13,2017
2017-08-27,Chelsea,Everton,2,0,H,1.51,7.08,2017
2017-08-28,Tottenham,Burnley,1,1,D,1.22,15.21,2017
2017-08-28,Liverpool,Arsenal,4,0,H,2.18,3.3,2017
2017-09-09,Manchester City,Liverpool,5,0,H,1.89,4.04,2017
2017-09-09,Southampton,Watford,0,2,A,1.68,5.5,2017
2017-09-09,Leicester,Chelsea,1,2,A,4.73,1.79,2017
2017-09-09,Everton,Tottenham,0,3,A,3.99,2.01,2017
2017-09-09,Brighton,West Brom,3,1,H,2.68,3.02,2017
2017-09-09,Arsenal,Bournemouth,3,0,H,1.31,9.49,2017
2017-09-10,Stoke,Manchester Utd,2,2,D,7.09,1.52,2017
2017-09-10,Burnley,Crystal Palace,1,0,H,2.23,3.59,2017
2017-09-11,Swansea,Newcastle,0,1,A,2.47,3.18,2017
2017-09-12,West Ham,Huddersfield,2,0,H,2.05,3.93,2017
2017-09-16,Bournemouth,Brighton,2,1,H,2.13,3.76,2017
2017-09-16,Crystal Palace,Southampton,0,1,A,2.88,2.68,2017
2017-09-16,West Brom,West Ham,0,0,D,2.32,3.41,2017
2017-09-16,Watford,Manchester City,0,6,A,9.41,1.32,2017
2017-09-16,Newcastle,Stoke,2,1,H,2.19,3.6,2017
2017-09-16,Liverpool,Burnley,1,1,D,1.26,12.66,2017
2017-09-16,Huddersfield,Leicester,1,1,D,3.47,2.24,2017
2017-09-17,Tottenham,Swansea,0,0,D,1.21,14.5,2017
