Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDSX,ODDS2,Season
2024-08-17,Manchester Utd,Fulham,1,0,H,1.67,4.21,5.15,2024
2024-08-17,Ipswich,Liverpool,0,2,A,8.02,5.95,1.35,2024
2024-08-17,Nottingham,Bournemouth,1,1,D,2.24,3.45,3.31,2024
2024-08-17,Newcastle,Southampton,1,0,H,1.4,5.27,7.34,2024
2024-08-17,Everton,Brighton,0,3,A,3.1,3.42,2.39,2024
2024-08-17,Arsenal,Wolves,2,0,H,1.15,8.92,18.52,2024
2024-08-18,West Ham,Aston Villa,1,2,A,2.5,3.51,2.86,2024
2024-08-18,Brentford,Crystal Palace,2,1,H,2.88,3.29,2.63,2024
2024-08-19,Chelsea,Manchester City,0,2,A,3.69,3.86,1.99,2024
2024-08-20,Leicester,Tottenham,1,1,D,4.66,4.29,1.71,2024
2024-08-24,Brighton,Manchester Utd,2,1,H,2.44,3.73,2.82,2024
2024-08-24,Tottenham,Everton,4,0,H,1.38,5.44,7.97,2024
2024-08-24,Southampton,Nottingham,0,1,A,2.4,3.47,3.05,2024
2024-08-24,Manchester City,Ipswich,4,1,H,1.09,11.97,28.85,2024
2024-08-24,Fulham,Leicester,2,1,H,1.88,3.73,4.33,2024
2024-08-24,Crystal Palace,West Ham,0,2,A,2.01,3.8,3.71,2024
2024-08-25,Aston Villa,Arsenal,0,2,A,4.72,4.06,1.74,2024
2024-08-25,Wolves,Chelsea,2,6,A,3.94,3.92,1.91,2024
2024-08-25,Bournemouth,Newcastle,1,1,D,2.6,3.67,2.66,2024
2024-08-26,Liverpool,Brentford,2,0,H,1.22,7.39,12.19,2024
2024-08-31,Arsenal,Brighton,1,1,D,1.37,5.42,8.07,2024
2024-08-31,Nottingham,Wolves,1,1,D,2.01,3.65,3.78,2024
2024-08-31,Leicester,Aston Villa,1,2,A,4.06,3.82,1.9,2024
2024-08-31,Ipswich,Fulham,1,1,D,3.06,3.44,2.41,2024
2024-08-31,Everton,Bournemouth,2,3,A,2.98,3.47,2.45,2024
2024-08-31,Brentford,Southampton,3,1,H,1.81,3.89,4.47,2024
2024-09-01,West Ham,Manchester City,1,3,A,7.26,5.22,1.41,2024
2024-09-01,Newcastle,Tottenham,2,1,H,2.48,3.93,2.66,2024
2024-09-01,Chelsea,Crystal Palace,1,1,D,1.66,4.35,5.0,2024
2024-09-02,Manchester Utd,Liverpool,0,3,A,3.63,4.1,1.95,2024
2024-09-14,Southampton,Manchester Utd,0,3,A,4.24,4.07,1.81,2024
2024-09-14,Manchester City,Brentford,2,1,H,1.2,7.73,14.39,2024
2024-09-14,Liverpool,Nottingham,0,1,A,1.23,6.86,12.44,2024
2024-09-14,Fulham,West Ham,1,1,D,2.34,3.39,3.2,2024
2024-09-14,Crystal Palace,Leicester,2,2,D,1.68,3.99,5.33,2024
2024-09-14,Brighton,Ipswich,0,0,D,1.49,4.74,6.54,2024
2024-09-15,Aston Villa,Everton,3,2,H,1.68,3.97,5.34,2024
2024-09-15,Bournemouth,Chelsea,0,1,A,3.17,3.82,2.19,2024
2024-09-15,Tottenham,Arsenal,0,1,A,2.79,3.54,2.55,2024
2024-09-16,Wolves,Newcastle,1,2,A,3.65,3.7,2.04,2024
2024-09-21,West Ham,Chelsea,0,3,A,3.6,3.92,2.0,2024
2024-09-21,Tottenham,Brentford,3,1,H,1.48,5.05,6.26,2024
2024-09-21,Southampton,Ipswich,1,1,D,2.44,3.45,2.99,2024
2024-09-21,Liverpool,Bournemouth,3,0,H,1.26,6.76,10.5,2024
2024-09-21,Leicester,Everton,1,1,D,2.11,3.5,3.65,2024
2024-09-21,Fulham,Newcastle,3,1,H,2.92,3.53,2.46,2024
2024-09-21,Aston Villa,Wolves,3,1,H,1.63,4.3,5.25,2024
2024-09-22,Crystal Palace,Manchester Utd,0,0,D,2.87,3.59,2.46,2024
2024-09-22,Brighton,Nottingham,2,2,D,1.85,3.76,4.4,2024
2024-09-23,Manchester City,Arsenal,2,2,D,1.79,3.58,5.1,2024
2024-09-28,Newcastle,Manchester City,1,1,D,5.01,4.22,1.67,2024
2024-09-28,Nottingham,Fulham,0,1,A,2.55,3.16,3.06,2024
2024-09-28,Everton,Crystal Palace,2,1,H,2.76,3.33,2.68,2024
2024-09-28,Chelsea,Brighton,4,2,H,1.77,4.21,4.31,2024
2024-09-28,Brentford,West Ham,1,1,D,2.25,3.58,3.21,2024
2024-09-28,Arsenal,Leicester,4,2,H,1.2,7.27,15.96,2024
2024-09-29,Wolves,Liverpool,1,2,A,8.8,5.99,1.33,2024
2024-09-29,Ipswich,Aston Villa,2,2,D,3.7,3.58,2.07,2024
2024-09-30,Manchester Utd,Tottenham,0,3,A,2.12,3.87,3.29,2024
2024-10-01,Bournemouth,Southampton,3,1,H,1.53,4.52,6.21,2024
2024-10-05,Crystal Palace,Liverpool,0,1,A,5.14,4.11,1.68,2024
2024-10-05,West Ham,Ipswich,4,1,H,1.92,3.82,3.99,2024
2024-10-05,Manchester City,Fulham,3,2,H,1.27,6.54,11.12,2024
2024-10-05,Leicester,Bournemouth,1,0,H,3.58,3.78,2.05,2024
2024-10-05,Brentford,Wolves,5,3,H,2.08,3.59,3.59,2024
2024-10-05,Arsenal,Southampton,3,1,H,1.18,8.18,16.41,2024
2024-10-06,Everton,Newcastle,0,0,D,3.72,3.75,1.99,2024
2024-10-06,Chelsea,Nottingham,1,1,D,1.51,4.65,6.42,2024
2024-10-06,Aston Villa,Manchester Utd,0,0,D,2.21,3.89,3.09,2024
2024-10-07,Brighton,Tottenham,3,2,H,2.92,3.98,2.27,2024
2024-10-19,Tottenham,West Ham,4,1,H,1.46,5.35,6.2,2024
2024-10-19,Southampton,Leicester,2,3,A,2.21,3.55,3.36,2024
2024-10-19,Newcastle,Brighton,0,1,A,1.74,4.1,4.69,2024
2024-10-19,Manchester Utd,Brentford,2,1,H,1.7,4.29,4.74,2024
2024-10-19,Ipswich,Everton,0,2,A,2.39,3.42,3.09,2024
2024-10-19,Fulham,Aston Villa,1,3,A,2.49,3.45,2.92,2024
2024-10-20,Bournemouth,Arsenal,2,0,H,4.88,3.73,1.78,2024
2024-10-20,Wolves,Manchester City,1,2,A,8.61,5.54,1.35,2024
2024-10-21,Liverpool,Chelsea,2,1,H,1.67,4.49,4.68,2024
2024-10-22,Nottingham,Crystal Palace,1,0,H,2.37,3.29,3.24,2024
2024-10-26,Leicester,Nottingham,1,3,A,3.01,3.37,2.44,2024
2024-10-26,Manchester City,Southampton,1,0,H,1.12,10.31,20.45,2024
2024-10-26,Brighton,Wolves,2,2,D,1.58,4.37,5.75,2024
2024-10-26,Brentford,Ipswich,4,3,H,1.67,4.17,5.06,2024
2024-10-26,Aston Villa,Bournemouth,1,1,D,1.82,3.95,4.33,2024
2024-10-27,Everton,Fulham,1,1,D,2.76,3.4,2.65,2024
2024-10-27,West Ham,Manchester Utd,2,1,H,3.32,3.72,2.16,2024
2024-10-27,Crystal Palace,Tottenham,1,0,H,3.79,4.0,1.92,2024
2024-10-27,Chelsea,Newcastle,2,1,H,1.79,4.13,4.2,2024
2024-10-28,Arsenal,Liverpool,2,2,D,2.28,3.38,3.35,2024
2024-11-02,Newcastle,Arsenal,1,0,H,4.06,3.62,1.96,2024
2024-11-03,Southampton,Everton,1,0,H,2.72,3.34,2.73,2024
2024-11-03,Nottingham,West Ham,3,0,H,2.05,3.5,3.85,2024
2024-11-03,Liverpool,Brighton,2,1,H,1.38,5.67,7.59,2024
2024-11-03,Ipswich,Leicester,1,1,D,2.35,3.59,3.03,2024
2024-11-03,Bournemouth,Manchester City,2,1,H,5.93,4.45,1.56,2024
2024-11-03,Wolves,Crystal Palace,2,2,D,2.44,3.35,3.07,2024
2024-11-03,Tottenham,Aston Villa,4,1,H,1.95,4.04,3.65,2024
2024-11-04,Manchester Utd,Chelsea,1,1,D,2.67,3.6,2.59,2024
2024-11-05,Fulham,Brentford,2,1,H,2.02,3.76,3.66,2024
2024-11-10,Wolves,Southampton,2,0,H,1.93,3.81,3.99,2024
2024-11-10,West Ham,Everton,0,0,D,2.17,3.47,3.52,2024
2024-11-10,Crystal Palace,Fulham,0,2,A,3.38,3.37,2.26,2024
2024-11-10,Brentford,Bournemouth,3,2,H,2.61,3.6,2.68,2024
2024-11-10,Brighton,Manchester City,2,1,H,4.2,4.16,1.8,2024
2024-11-10,Liverpool,Aston Villa,2,0,H,1.49,4.77,6.58,2024
2024-11-10,Tottenham,Ipswich,1,2,A,1.26,6.81,10.81,2024
2024-11-10,Nottingham,Newcastle,1,3,A,2.79,3.3,2.69,2024
2024-11-10,Manchester Utd,Leicester,3,0,H,1.34,5.66,8.8,2024
2024-11-11,Chelsea,Arsenal,1,1,D,3.02,3.42,2.45,2024
