Date,League,HomeTeam,AwayTeam,ODDS1,ODDS2
2024-11-12,nfl,2Q 8',Los Angeles Rams,Miami Dolphins,1.72
2024-11-15,nfl,Philadelphia Eagles,Washington Commanders,1.57,2.45
2024-11-17,nfl,Chicago Bears,Green Bay Packers,3.21,1.35
2024-11-17,nfl,Detroit Lions,Jacksonville Jaguars,1.11,6.61
2024-11-17,nfl,Miami Dolphins,Las Vegas Raiders,1.30,3.62
2024-11-17,nfl,New England Patriots,Los Angeles Rams,2.94,1.41
2024-11-17,nfl,New Orleans Saints,Cleveland Browns,1.85,1.97
2024-11-17,nfl,New York Jets,Indianapolis Colts,1.54,2.51
2024-11-17,nfl,Pittsburgh Steelers,Baltimore Ravens,2.43,1.57
2024-11-17,nfl,Tennessee Titans,Minnesota Vikings,3.15,1.37
2024-11-17,nfl,Denver Broncos,Atlanta Falcons,1.75,2.10
2024-11-17,nfl,San Francisco 49ers,Seattle Seahawks,1.33,3.37
2024-11-17,nfl,Buffalo Bills,Kansas City Chiefs,1.73,2.15
2024-11-18,nfl,Los Angeles Chargers,Cincinnati Bengals,1.81,2.02
2024-11-19,nfl,Dallas Cowboys,Houston Texans,3.90,1.27
