Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2019-03-03,Philadelphia Union,Toronto FC,1,3,A,1.74,4.32,2019
2019-03-03,Orlando City,New York City,2,2,D,2.97,2.28,2019
2019-03-03,FC Dallas,New England Revolution,1,1,D,1.73,4.42,2019
2019-03-03,Columbus Crew,New York Red Bulls,1,1,D,1.53,5.53,2019
2019-03-03,Vancouver Whitecaps,Minnesota United,2,3,A,2.15,3.24,2019
2019-03-03,Houston Dynamo,Real Salt Lake,1,1,D,1.79,3.98,2019
2019-03-03,Colorado Rapids,Portland Timbers,3,3,D,2.61,2.66,2019
2019-03-03,Los Angeles Galaxy,Chicago Fire,2,1,H,1.8,4.16,2019
2019-03-03,Seattle Sounders,FC Cincinnati,4,1,H,1.57,5.64,2019
2019-03-03,San Jose Earthquakes,CF Montreal,1,2,A,2.37,2.85,2019
2019-03-04,DC United,Atlanta Utd,2,0,H,2.46,2.73,2019
2019-03-04,Los Angeles FC,Sporting Kansas City,2,1,H,2.14,3.22,2019
2019-03-10,Chicago Fire,Orlando City,1,1,D,1.75,4.3,2019
2019-03-10,New England Revolution,Columbus Crew,0,2,A,2.37,2.86,2019
2019-03-10,FC Dallas,Los Angeles Galaxy,2,0,H,1.59,5.12,2019
2019-03-10,Houston Dynamo,CF Montreal,2,1,H,2.26,3.09,2019
2019-03-10,Real Salt Lake,Vancouver Whitecaps,1,0,H,1.6,4.95,2019
2019-03-10,San Jose Earthquakes,Minnesota United,0,3,A,2.4,2.82,2019
2019-03-10,Seattle Sounders,Colorado Rapids,2,0,H,1.42,7.4,2019
2019-03-11,Sporting Kansas City,Philadelphia Union,2,0,H,1.71,4.43,2019
2019-03-11,New York City,DC United,0,0,D,1.88,3.85,2019
2019-03-11,Atlanta Utd,FC Cincinnati,1,1,D,1.26,9.81,2019
2019-03-11,Los Angeles FC,Portland Timbers,4,1,H,1.62,4.8,2019
2019-03-17,Chicago Fire,Seattle Sounders,2,4,A,2.42,2.86,2019
2019-03-17,Columbus Crew,FC Dallas,1,0,H,1.68,5.07,2019
2019-03-17,Houston Dynamo,Vancouver Whitecaps,3,2,H,1.66,4.81,2019
2019-03-17,New York Red Bulls,San Jose Earthquakes,4,1,H,1.34,8.74,2019
2019-03-17,Orlando City,CF Montreal,1,3,A,2.14,3.15,2019
2019-03-17,DC United,Real Salt Lake,5,0,H,1.62,5.01,2019
2019-03-17,Los Angeles Galaxy,Minnesota United,3,2,H,2.58,2.63,2019
2019-03-18,New York City,Los Angeles FC,2,2,D,2.03,3.42,2019
2019-03-18,FC Cincinnati,Portland Timbers,3,0,H,2.17,3.09,2019
2019-03-18,Atlanta Utd,Philadelphia Union,1,1,D,1.49,5.85,2019
2019-03-18,Toronto FC,New England Revolution,3,2,H,1.67,4.69,2019
2019-03-18,Colorado Rapids,Sporting Kansas City,1,1,D,3.06,2.22,2019
2019-03-24,FC Dallas,Colorado Rapids,2,1,H,1.59,5.44,2019
2019-03-24,Philadelphia Union,Columbus Crew,3,0,H,2.23,3.09,2019
2019-03-24,New York Red Bulls,Orlando City,0,1,A,1.44,6.68,2019
2019-03-24,Los Angeles FC,Real Salt Lake,2,1,H,1.26,9.21,2019
2019-03-25,New England Revolution,FC Cincinnati,0,2,A,1.59,5.11,2019
