Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDSX,ODDS2
2024-02-22,2024,Inter Miami,Real Salt Lake,2,0,H,1.55,4.65,5.20
2024-02-24,2024,Columbus Crew,Atlanta Utd,1,0,H,1.70,4.05,4.55
2024-02-24,2024,Los Angeles FC,Seattle Sounders,2,1,H,1.70,3.85,5.00
2024-02-25,2024,Philadelphia Union,Chicago Fire,2,2,D,1.80,3.85,4.25
2024-02-25,2024,Orlando City,CF Montreal,0,0,D,1.60,4.15,5.40
2024-02-25,2024,DC United,New England Revolution,3,1,H,2.10,3.55,3.45
2024-02-25,2024,Charlotte,New York City,1,0,H,2.37,3.25,3.15
2024-02-25,2024,St. Louis City,Real Salt Lake,1,1,D,2.12,3.70,3.25
2024-02-25,2024,Houston Dynamo,Sporting Kansas City,1,1,D,2.27,3.25,3.35
2024-02-25,2024,FC Dallas,San Jose Earthquakes,2,1,H,2.20,3.30,3.40
2024-02-25,2024,Austin FC,Minnesota United,1,2,A,2.15,3.55,3.30
2024-02-25,2024,Portland Timbers,Colorado Rapids,4,1,H,1.75,3.95,4.45
2024-02-25,2024,FC Cincinnati,Toronto FC,0,0,D,1.72,3.95,4.75
2024-02-25,2024,Nashville SC,New York Red Bulls,0,0,D,2.80,3.10,2.72
2024-02-26,2024,Los Angeles Galaxy,Inter Miami,1,1,D,2.95,3.85,2.22
2024-03-02,2024,Real Salt Lake,Los Angeles FC,3,0,H,2.75,3.55,2.47
2024-03-02,2024,Minnesota United,Columbus Crew,1,1,D,3.20,3.70,2.12
2024-03-02,2024,Inter Miami,Orlando City,5,0,H,1.75,4.05,4.30
2024-03-03,2024,Vancouver Whitecaps,Charlotte,1,1,D,1.83,3.80,4.15
2024-03-03,2024,St. Louis City,New York City,2,0,H,2.40,3.35,3.00
2024-03-03,2024,Sporting Kansas City,Philadelphia Union,1,1,D,1.85,3.65,4.20
2024-03-03,2024,Houston Dynamo,New York Red Bulls,1,2,A,2.60,3.05,3.00
2024-03-03,2024,FC Dallas,CF Montreal,1,2,A,1.98,3.55,3.80
2024-03-03,2024,Chicago Fire,FC Cincinnati,1,2,A,2.27,3.55,3.05
2024-03-03,2024,Colorado Rapids,Nashville SC,1,1,D,2.02,3.30,3.95
2024-03-03,2024,Seattle Sounders,Austin FC,0,0,D,1.57,4.15,5.70
2024-03-03,2024,San Jose Earthquakes,Los Angeles Galaxy,1,3,A,2.32,3.70,2.87
2024-03-03,2024,Portland Timbers,DC United,2,2,D,2.15,3.65,3.25
2024-03-03,2024,New England Revolution,Toronto FC,0,1,A,1.98,3.65,3.75
2024-03-09,2024,Toronto FC,Charlotte,1,0,H,2.57,3.30,2.80
2024-03-09,2024,New York City,Portland Timbers,1,2,A,1.88,3.55,4.20
2024-03-10,2024,Orlando City,Minnesota United,2,3,A,1.91,3.80,3.75
2024-03-10,2024,New York Red Bulls,FC Dallas,2,1,H,1.57,4.05,5.90
2024-03-10,2024,Columbus Crew,Chicago Fire,2,1,H,1.47,4.65,6.40
2024-03-10,2024,Atlanta Utd,New England Revolution,4,1,H,1.70,4.15,4.50
2024-03-10,2024,Austin FC,St. Louis City,2,2,D,2.67,3.25,2.72
2024-03-10,2024,Real Salt Lake,Colorado Rapids,1,2,A,1.82,3.60,4.50
2024-03-10,2024,San Jose Earthquakes,Vancouver Whitecaps,0,2,A,2.45,3.50,2.80
2024-03-10,2024,Los Angeles FC,Sporting Kansas City,0,0,D,1.60,4.15,5.40
2024-03-10,2024,Nashville SC,Los Angeles Galaxy,2,2,D,3.23,3.35,2.20
2024-03-10,2024,FC Cincinnati,DC United,0,0,D,2.00,3.60,3.70
2024-03-10,2024,Inter Miami,CF Montreal,2,3,A,1.88,3.58,3.98
2024-03-16,2024,DC United,Inter Miami,1,3,A,1.93,3.75,3.75
2024-03-16,2024,Chicago Fire,CF Montreal,4,3,H,2.00,3.50,3.75
2024-03-16,2024,Seattle Sounders,Colorado Rapids,1,1,D,1.65,3.90,5.30
2024-03-17,2024,New York City,Toronto FC,2,1,H,1.62,3.85,5.70
2024-03-17,2024,Columbus Crew,New York Red Bulls,3,0,H,1.95,3.50,4.00
2024-03-17,2024,Sporting Kansas City,San Jose Earthquakes,2,1,H,1.80,3.65,4.60
2024-03-17,2024,Nashville SC,Charlotte,2,1,H,2.10,3.25,3.80
2024-03-17,2024,Minnesota United,Los Angeles FC,2,0,H,3.35,3.50,2.15
2024-03-17,2024,Houston Dynamo,Portland Timbers,1,0,H,1.85,3.70,4.15
2024-03-17,2024,FC Dallas,Vancouver Whitecaps,1,3,A,2.45,3.35,2.90
2024-03-17,2024,Austin FC,Philadelphia Union,2,2,D,3.10,3.35,2.32
2024-03-17,2024,Los Angeles Galaxy,St. Louis City,3,3,D,1.70,4.15,4.60
2024-03-17,2024,New England Revolution,FC Cincinnati,1,2,A,2.13,3.53,3.20
2024-03-18,2024,Atlanta Utd,Orlando City,2,0,H,1.76,3.83,4.30
2024-03-23,2024,New York Red Bulls,Inter Miami,4,0,H,1.99,3.70,3.48
2024-03-23,2024,New England Revolution,Chicago Fire,1,1,D,2.05,3.70,3.45
2024-03-24,2024,Vancouver Whitecaps,Real Salt Lake,1,2,A,1.85,3.55,4.13
2024-03-24,2024,Toronto FC,Atlanta Utd,2,0,H,2.17,3.38,3.25
2024-03-24,2024,Orlando City,Austin FC,2,0,H,1.75,3.85,4.33
2024-03-24,2024,FC Cincinnati,New York City,1,0,H,1.80,3.45,4.60
2024-03-24,2024,Charlotte,Columbus Crew,2,0,H,3.15,3.30,2.25
2024-03-24,2024,St. Louis City,DC United,2,2,D,1.93,3.65,3.85
2024-03-24,2024,Sporting Kansas City,Los Angeles Galaxy,2,3,A,2.26,3.48,2.97
2024-03-24,2024,Colorado Rapids,Houston Dynamo,0,1,A,1.95,3.45,4.00
2024-03-24,2024,San Jose Earthquakes,Seattle Sounders,3,2,H,2.51,3.15,2.89
2024-03-24,2024,Portland Timbers,Philadelphia Union,1,3,A,1.87,3.88,3.75
2024-03-24,2024,Los Angeles FC,Nashville SC,5,0,H,1.47,4.25,6.95
2024-03-30,2024,Philadelphia Union,Minnesota United,2,0,H,1.65,4.35,4.70
2024-03-30,2024,Colorado Rapids,Los Angeles FC,3,2,H,2.77,3.45,2.52
2024-03-31,2024,Toronto FC,Sporting Kansas City,1,3,A,2.47,3.30,2.92
2024-03-31,2024,Orlando City,New York Red Bulls,1,1,D,2.15,3.20,3.65
2024-03-31,2024,Inter Miami,New York City,1,1,D,1.92,3.63,3.80
2024-03-31,2024,DC United,CF Montreal,1,0,H,1.83,4.00,3.95
2024-03-31,2024,Charlotte,FC Cincinnati,1,1,D,2.67,3.25,2.70
2024-03-31,2024,Nashville SC,Columbus Crew,2,2,D,3.10,3.40,2.30
2024-03-31,2024,Houston Dynamo,San Jose Earthquakes,2,1,H,1.82,3.35,5.00
2024-03-31,2024,Austin FC,FC Dallas,2,1,H,2.40,3.35,2.95
2024-03-31,2024,Real Salt Lake,St. Louis City,3,1,H,1.65,4.20,4.90
2024-03-31,2024,Vancouver Whitecaps,Portland Timbers,3,2,H,2.05,3.55,3.60
2024-03-31,2024,Los Angeles Galaxy,Seattle Sounders,1,0,H,1.91,3.75,3.85
2024-03-31,2024,Atlanta Utd,Chicago Fire,3,0,H,1.72,4.10,4.45
2024-04-07,2024,Vancouver Whitecaps,Toronto FC,4,0,H,1.57,4.05,6.10
2024-04-07,2024,New York City,Atlanta Utd,1,1,D,2.05,3.60,3.50
2024-04-07,2024,New England Revolution,Charlotte,1,0,H,2.27,3.45,3.10
2024-04-07,2024,Inter Miami,Colorado Rapids,2,2,D,2.30,3.55,3.00
2024-04-07,2024,FC Cincinnati,New York Red Bulls,1,2,A,2.25,3.15,3.45
2024-04-07,2024,Columbus Crew,DC United,1,1,D,1.65,4.15,4.85
2024-04-07,2024,Los Angeles FC,Los Angeles Galaxy,2,1,H,1.78,4.13,3.90
2024-04-07,2024,St. Louis City,FC Dallas,0,0,D,1.78,3.80,4.50
2024-04-07,2024,Nashville SC,Philadelphia Union,1,2,A,2.62,3.15,2.85
2024-04-07,2024,Minnesota United,Real Salt Lake,1,1,D,2.32,3.60,2.95
2024-04-07,2024,Chicago Fire,Houston Dynamo,2,1,H,2.30,3.35,3.15
2024-04-07,2024,Austin FC,San Jose Earthquakes,4,3,H,2.12,3.40,3.50
2024-04-07,2024,Seattle Sounders,CF Montreal,5,0,H,1.55,4.10,6.30
2024-04-07,2024,Sporting Kansas City,Portland Timbers,3,3,D,1.98,3.60,3.58
2024-04-13,2024,Portland Timbers,Los Angeles FC,2,2,D,2.91,3.55,2.27
2024-04-14,2024,New York Red Bulls,Chicago Fire,0,0,D,1.62,3.85,5.70
2024-04-14,2024,New York City,New England Revolution,2,0,H,1.88,3.70,4.00
2024-04-14,2024,DC United,Orlando City,2,3,A,2.22,3.55,3.15
2024-04-14,2024,Charlotte,Toronto FC,3,2,H,1.70,3.85,5.00
2024-04-14,2024,CF Montreal,FC Cincinnati,2,1,H,2.75,3.35,2.57
2024-04-14,2024,Sporting Kansas City,Inter Miami,2,3,A,2.60,3.75,2.52
2024-04-14,2024,Minnesota United,Houston Dynamo,1,2,A,2.30,3.50,3.05
2024-04-14,2024,FC Dallas,Seattle Sounders,0,0,D,3.20,3.25,2.32
2024-04-14,2024,Real Salt Lake,Columbus Crew,0,0,D,1.72,3.90,4.70
2024-04-14,2024,Vancouver Whitecaps,Los Angeles Galaxy,1,3,A,2.25,3.90,2.90
2024-04-14,2024,San Jose Earthquakes,Colorado Rapids,0,3,A,2.02,3.45,3.75
2024-04-14,2024,Atlanta Utd,Philadelphia Union,2,2,D,2.30,3.70,2.79
2024-04-14,2024,St. Louis City,Austin FC,1,0,H,1.88,3.70,4.00
2024-04-21,2024,Toronto FC,New England Revolution,1,0,H,2.32,3.60,2.92
2024-04-21,2024,New York City,DC United,2,0,H,1.70,3.90,4.85
