Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,ODDS1,ODDS2,Season
2019-10-04,Los Angeles Clippers,Houston Rockets,96,109,A,2.55,1.51,2019
2019-10-04,Sacramento Kings,Indiana Pacers,131,132,A,1.49,2.63,2019
2019-10-05,Indiana Pacers,Sacramento Kings,130,106,H,2.45,1.55,2019
2019-10-06,Golden State Warriors,Los Angeles Lakers,101,123,A,2.52,1.54,2019
2019-10-06,San Antonio Spurs,Orlando Magic,89,125,A,1.36,3.19,2019
2019-10-07,Boston Celtics,Charlotte Hornets,107,106,H,1.47,2.71,2019
2019-10-08,Washington Wizards,New York Knicks,99,104,A,2.02,1.78,2019
2019-10-08,Detroit Pistons,Orlando Magic,91,115,A,2.1,1.73,2019
2019-10-08,Atlanta Hawks,New Orleans Pelicans,109,133,A,1.94,1.84,2019
2019-10-08,Chicago Bulls,Milwaukee Bucks,112,122,A,2.11,1.71,2019
2019-10-08,Toronto Raptors,Houston Rockets,134,129,H,2.8,1.42,2019
2019-10-09,Miami Heat,San Antonio Spurs,107,89,H,1.58,2.37,2019
2019-10-09,Oklahoma City Thunder,Dallas Mavericks,119,104,H,2.35,1.59,2019
2019-10-09,Phoenix Suns,Minnesota Timberwolves,111,106,H,2.37,1.58,2019
2019-10-09,Portland Trail Blazers,Denver Nuggets,94,105,A,1.56,2.42,2019
2019-10-10,Detroit Pistons,Dallas Mavericks,124,117,H,2.16,1.68,2019
2019-10-10,Charlotte Hornets,Miami Heat,94,108,A,1.48,2.64,2019
2019-10-10,Atlanta Hawks,Orlando Magic,88,97,A,2.23,1.65,2019
2019-10-10,Milwaukee Bucks,Utah Jazz,133,99,H,1.48,2.63,2019
2019-10-10,Chicago Bulls,New Orleans Pelicans,125,127,A,2.59,1.5,2019
2019-10-10,Houston Rockets,Toronto Raptors,118,111,H,1.48,2.64,2019
2019-10-10,Los Angeles Lakers,Brooklyn Nets,111,114,A,1.53,2.49,2019
2019-10-11,Sacramento Kings,Phoenix Suns,105,88,H,1.52,2.52,2019
2019-10-11,Los Angeles Clippers,Denver Nuggets,91,111,A,2.65,1.48,2019
2019-10-11,Golden State Warriors,Minnesota Timberwolves,143,123,H,1.68,2.17,2019
2019-10-12,Orlando Magic,Boston Celtics,75,100,A,2.03,1.82,2019
2019-10-12,Indiana Pacers,Chicago Bulls,105,87,H,1.36,3.29,2019
2019-10-12,Detroit Pistons,Cleveland Cavaliers,109,105,H,1.62,2.39,2019
2019-10-12,New York Knicks,Washington Wizards,99,115,A,1.51,2.68,2019
2019-10-12,Charlotte Hornets,Philadelphia 76ers,87,100,A,2.76,1.48,2019
2019-10-12,New Orleans Pelicans,Utah Jazz,128,127,H,1.86,1.94,2019
2019-10-12,Dallas Mavericks,Milwaukee Bucks,111,118,A,2.6,1.51,2019
2019-10-12,Brooklyn Nets,Los Angeles Lakers,91,77,H,2.7,1.46,2019
2019-10-13,Portland Trail Blazers,Phoenix Suns,118,134,A,1.38,3.18,2019
2019-10-14,Boston Celtics,Cleveland Cavaliers,118,72,H,1.38,3.04,2019
2019-10-14,San Antonio Spurs,New Orleans Pelicans,114,123,A,1.94,1.86,2019
2019-10-14,Washington Wizards,Milwaukee Bucks,108,115,A,2.55,1.51,2019
2019-10-14,Toronto Raptors,Chicago Bulls,91,105,A,1.59,2.39,2019
2019-10-14,Orlando Magic,Philadelphia 76ers,94,126,A,2.46,1.56,2019
2019-10-15,Miami Heat,Atlanta Hawks,120,87,H,1.46,2.72,2019
2019-10-15,Memphis Grizzlies,Charlotte Hornets,99,120,A,1.52,2.56,2019
2019-10-15,Dallas Mavericks,Oklahoma City Thunder,107,70,H,1.43,2.83,2019
2019-10-15,Utah Jazz,Sacramento Kings,115,128,A,1.43,2.86,2019
2019-10-15,Phoenix Suns,Denver Nuggets,102,107,A,2.77,1.45,2019
2019-10-15,Los Angeles Lakers,Golden State Warriors,104,98,H,2.37,1.58,2019
2019-10-16,Philadelphia 76ers,Detroit Pistons,106,86,H,1.39,3.05,2019
2019-10-16,Indiana Pacers,Minnesota Timberwolves,111,119,A,1.48,2.7,2019
2019-10-16,Cleveland Cavaliers,Boston Celtics,95,118,A,1.5,2.65,2019
2019-10-17,Charlotte Hornets,Detroit Pistons,110,116,A,1.62,2.33,2019
2019-10-17,Oklahoma City Thunder,Memphis Grizzlies,119,124,A,1.44,2.81,2019
2019-10-17,New York Knicks,Atlanta Hawks,96,100,A,1.75,2.09,2019
2019-10-17,Houston Rockets,San Antonio Spurs,114,128,A,1.31,3.45,2019
2019-10-17,Utah Jazz,Portland Trail Blazers,118,126,A,1.54,2.54,2019
2019-10-17,Los Angeles Lakers,Golden State Warriors,126,93,H,1.3,3.51,2019
2019-10-18,Orlando Magic,Miami Heat,98,107,A,1.83,1.97,2019
2019-10-18,Milwaukee Bucks,Minnesota Timberwolves,118,96,H,1.28,3.7,2019
2019-10-18,Chicago Bulls,Atlanta Hawks,111,93,H,1.39,3.01,2019
2019-10-18,Denver Nuggets,Portland Trail Blazers,110,104,H,1.24,4.08,2019
2019-10-18,Los Angeles Clippers,Dallas Mavericks,87,102,A,1.71,2.15,2019
2019-10-19,Philadelphia 76ers,Washington Wizards,93,112,A,1.22,4.29,2019
2019-10-19,Brooklyn Nets,Toronto Raptors,107,123,A,1.67,2.21,2019
2019-10-19,New York Knicks,New Orleans Pelicans,116,117,A,2.11,1.74,2019
2019-10-19,Miami Heat,Houston Rockets,133,144,A,3.1,1.38,2019
2019-10-19,San Antonio Spurs,Memphis Grizzlies,104,91,H,1.36,3.12,2019
2019-10-19,Golden State Warriors,Los Angeles Lakers,124,103,H,1.29,3.61,2019
2019-10-23,Toronto Raptors,New Orleans Pelicans,130,122,H,1.36,3.3,2019
2019-10-23,Los Angeles Clippers,Los Angeles Lakers,112,102,H,2.41,1.6,2019
2019-10-24,Orlando Magic,Cleveland Cavaliers,94,85,H,1.19,4.98,2019
2019-10-24,Indiana Pacers,Detroit Pistons,110,119,A,1.33,3.45,2019
2019-10-24,Charlotte Hornets,Chicago Bulls,126,125,H,2.4,1.62,2019
2019-10-24,Philadelphia 76ers,Boston Celtics,107,93,H,1.42,3.02,2019
2019-10-24,Miami Heat,Memphis Grizzlies,120,101,H,1.35,3.33,2019
2019-10-24,Brooklyn Nets,Minnesota Timberwolves,126,127,A,1.63,2.36,2019
2019-10-24,San Antonio Spurs,New York Knicks,120,111,H,1.16,5.6,2019
2019-10-24,Dallas Mavericks,Washington Wizards,108,100,H,1.23,4.41,2019
2019-10-24,Utah Jazz,Oklahoma City Thunder,100,95,H,1.24,4.31,2019
2019-10-24,Portland Trail Blazers,Denver Nuggets,100,108,A,2.02,1.84,2019
2019-10-24,Phoenix Suns,Sacramento Kings,124,95,H,1.89,1.96,2019
2019-10-25,Detroit Pistons,Atlanta Hawks,100,117,A,1.84,2.01,2019
