Team,Elo_Score,LastMatchDate,TW_rate,TD_rate,TW_rate_7,TD_rate_7,TW_rate_12,TL_rate_7,TD_rate_12,TL_rate_12,HTHW_rate_5,ATAW_rate_5,last_TR_isW_1,last_TR_isL_1,last_TR_isW_2,last_TR_isL_2,last_TR_isW_3,last_TR_isL_3,last_HTHR_isW_1,last_HTHR_isL_1,last_HTHR_isW_2,last_HTHR_isL_2,last_ATAR_isW_1,last_ATAR_isL_1,last_ATAR_isW_2,last_ATAR_isL_2
Arsenal,181.54254536884704,2024-11-11,0.45454545454545453,0.36363636363636365,0.2857142857142857,0.42857142857142855,0.45454545454545453,0.28571428571428575,0.36363636363636365,0.18181818181818177,0.6,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Aston Villa,54.65837257548632,2024-11-10,0.45454545454545453,0.2727272727272727,0.2857142857142857,0.42857142857142855,0.45454545454545453,0.28571428571428575,0.2727272727272727,0.2727272727272727,0.4,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Bournemouth,-47.13187824024049,2024-11-10,0.36363636363636365,0.2727272727272727,0.42857142857142855,0.14285714285714285,0.36363636363636365,0.42857142857142855,0.2727272727272727,0.36363636363636365,0.6,0.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Brentford,-45.330350555232336,2024-11-10,0.45454545454545453,0.09090909090909091,0.42857142857142855,0.14285714285714285,0.45454545454545453,0.42857142857142855,0.09090909090909091,0.4545454545454545,0.8,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Brighton,20.463122460065335,2024-11-10,0.45454545454545453,0.36363636363636365,0.42857142857142855,0.2857142857142857,0.45454545454545453,0.2857142857142857,0.36363636363636365,0.18181818181818177,0.4,0.4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Burnley,-170.23879865834175,2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cardiff,-124.06520421170656,2019-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,77.32841021637545,2024-11-11,0.45454545454545453,0.36363636363636365,0.42857142857142855,0.42857142857142855,0.45454545454545453,0.14285714285714285,0.36363636363636365,0.18181818181818177,0.4,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Crystal Palace,-57.9155124657731,2024-11-10,0.09090909090909091,0.36363636363636365,0.14285714285714285,0.2857142857142857,0.09090909090909091,0.5714285714285715,0.36363636363636365,0.5454545454545454,0.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Everton,-71.02419045802613,2024-11-10,0.18181818181818182,0.36363636363636365,0.2857142857142857,0.5714285714285714,0.18181818181818182,0.1428571428571429,0.36363636363636365,0.4545454545454545,0.2,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
