Team,Elo_Score,LastMatchDate,TW_rate,TW_rate_7,TW_rate_12,TL_rate_7,TL_rate_12,HTHW_rate_5,ATAW_rate_5,last_TR_isW_1,last_TR_isL_1,last_TR_isW_2,last_TR_isL_2,last_TR_isW_3,last_TR_isL_3,last_HTHR_isW_1,last_HTHR_isL_1,last_HTHR_isW_2,last_HTHR_isL_2,last_ATAR_isW_1,last_ATAR_isL_1,last_ATAR_isW_2,last_ATAR_isL_2
American League,-59.945109672238345,2024-07-17,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona Diamondbacks,57.871641463945636,2024-09-30,0.5493827160493827,0.2857142857142857,0.5,0.7142857142857143,0.5,0.4,0.8,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Athletics,-58.70094045235054,2024-09-30,0.42592592592592593,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.4,0.4,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Atlanta Braves,32.15128062035804,2024-10-03,0.5426829268292683,0.42857142857142855,0.5833333333333334,0.5714285714285714,0.41666666666666663,0.6,0.4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Baltimore Orioles,-14.15568539502333,2024-10-03,0.5548780487804879,0.5714285714285714,0.5833333333333334,0.4285714285714286,0.41666666666666663,0.2,0.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Boston Red Sox,-30.536955274086292,2024-09-30,0.5031055900621118,0.5714285714285714,0.5,0.4285714285714286,0.5,0.6,0.6,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Chicago Cubs,25.783626936326005,2024-09-30,0.5123456790123457,0.5714285714285714,0.5,0.4285714285714286,0.5,0.6,0.4,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Chicago White Sox,-159.23255437071114,2024-09-30,0.25308641975308643,0.7142857142857143,0.5,0.2857142857142857,0.5,1.0,0.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Cincinnati Reds,-20.61455689070041,2024-09-30,0.47530864197530864,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.4,0.2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Cleveland Guardians,11.518458553391437,2024-10-20,0.5614035087719298,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.6666666666666667,0.4,0.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
