Team,Elo_Score,LastMatchDate,TW_rate,TD_rate,TW_rate_7,TD_rate_7,TW_rate_12,TL_rate_7,TD_rate_12,TL_rate_12,HTHW_rate_5,ATAW_rate_5,last_TR_isW_1,last_TR_isL_1,last_TR_isW_2,last_TR_isL_2,last_TR_isW_3,last_TR_isL_3,last_HTHR_isW_1,last_HTHR_isL_1,last_HTHR_isW_2,last_HTHR_isL_2,last_ATAR_isW_1,last_ATAR_isL_1,last_ATAR_isW_2,last_ATAR_isL_2
Atlanta Utd,-2.5285791814822094,2024-11-10,0.34210526315789475,0.2631578947368421,0.7142857142857143,0.0,0.5,0.2857142857142857,0.25,0.25,0.4,0.6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Austin FC,-58.427100837366766,2024-10-20,0.3235294117647059,0.2647058823529412,0.2857142857142857,0.2857142857142857,0.25,0.4285714285714286,0.25,0.5,0.2,0.4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CF Montreal,-41.88942673852206,2024-10-23,0.3142857142857143,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.4166666666666667,0.28571428571428575,0.16666666666666666,0.41666666666666663,0.8,0.2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Charlotte,-11.181055886269286,2024-11-10,0.40540540540540543,0.24324324324324326,0.5714285714285714,0.14285714285714285,0.4166666666666667,0.28571428571428575,0.16666666666666666,0.41666666666666663,0.8,0.2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Chicago Fire,-120.78452084519782,2024-10-20,0.20588235294117646,0.2647058823529412,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.7142857142857144,0.25,0.5833333333333334,0.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Colorado Rapids,-65.75722610463772,2024-11-02,0.4166666666666667,0.1388888888888889,0.14285714285714285,0.0,0.3333333333333333,0.8571428571428572,0.0,0.6666666666666667,0.4,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Columbus Crew,77.74564373628569,2024-11-04,0.5277777777777778,0.25,0.42857142857142855,0.14285714285714285,0.5,0.42857142857142855,0.16666666666666666,0.33333333333333337,0.6,0.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
DC United,-71.61814696999427,2024-10-20,0.29411764705882354,0.29411764705882354,0.42857142857142855,0.2857142857142857,0.5,0.2857142857142857,0.16666666666666666,0.33333333333333337,0.2,0.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
FC Cincinnati,24.780371917618304,2024-11-10,0.5135135135135135,0.13513513513513514,0.2857142857142857,0.0,0.3333333333333333,0.7142857142857143,0.16666666666666666,0.5000000000000001,0.2,0.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
FC Dallas,-40.607166203898345,2024-10-20,0.3235294117647059,0.23529411764705882,0.2857142857142857,0.2857142857142857,0.4166666666666667,0.4285714285714286,0.25,0.33333333333333326,0.6,0.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
