Team,Elo_Score,LastMatchDate,TW_rate,TW_rate_7,TW_rate_12,TL_rate_7,TL_rate_12,HTHW_rate_5,ATAW_rate_5,last_TR_isW_1,last_TR_isL_1,last_TR_isW_2,last_TR_isL_2,last_TR_isW_3,last_TR_isL_3,last_HTHR_isW_1,last_HTHR_isL_1,last_HTHR_isW_2,last_HTHR_isL_2,last_ATAR_isW_1,last_ATAR_isL_1,last_ATAR_isW_2,last_ATAR_isL_2
2Q 14',-75.77914004867986,2024-11-12,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AFC,-57.484749731987975,2024-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona Cardinals,-75.05718002839522,2024-11-10,0.46153846153846156,0.7142857142857143,0.5,0.2857142857142857,0.5,0.6,0.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Atlanta Falcons,-60.72985495405706,2024-11-10,0.46153846153846156,0.7142857142857143,0.5,0.2857142857142857,0.5,0.6,0.6,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Baltimore Ravens,115.48135318545988,2024-11-08,0.6153846153846154,0.8571428571428571,0.6666666666666666,0.1428571428571429,0.33333333333333337,0.8,0.6,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Buffalo Bills,147.4677748049334,2024-11-10,0.6923076923076923,0.7142857142857143,0.75,0.2857142857142857,0.25,0.8,0.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Carolina Panthers,-174.08886275078444,2024-11-10,0.3076923076923077,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.4,0.2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Chicago Bears,-45.38635344789212,2024-11-10,0.6153846153846154,0.42857142857142855,0.5833333333333334,0.5714285714285714,0.41666666666666663,0.8,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Cincinnati Bengals,-0.24023428579566808,2024-11-08,0.3076923076923077,0.5714285714285714,0.3333333333333333,0.4285714285714286,0.6666666666666667,0.2,0.6,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Cleveland Browns,-57.03996567275363,2024-11-03,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.8571428571428572,0.8333333333333334,0.2,0.2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Dallas Cowboys,11.545074224935847,2024-11-10,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Denver Broncos,-13.07652982843104,2024-11-10,0.6153846153846154,0.5714285714285714,0.5833333333333334,0.4285714285714286,0.41666666666666663,0.6,0.6,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Detroit Lions,93.26426225921604,2024-11-11,0.8333333333333334,1.0,0.8333333333333334,0.0,0.16666666666666663,0.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Green Bay Packers,72.58746016259808,2024-11-03,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.2857142857142857,0.33333333333333337,0.6,0.6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Houston Texans,10.958574017424333,2024-11-11,0.6428571428571429,0.5714285714285714,0.6666666666666666,0.4285714285714286,0.33333333333333337,0.8,0.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Indianapolis Colts,-23.779627707350876,2024-11-10,0.46153846153846156,0.42857142857142855,0.5,0.5714285714285714,0.5,0.6,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Jacksonville Jaguars,-53.61604544481556,2024-11-10,0.38461538461538464,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Jerry Rice Team,-10.0,2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas City Chiefs,209.41218745508343,2024-11-10,0.75,1.0,0.75,0.0,0.25,1.0,0.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Las Vegas Raiders,-54.93381436810655,2024-11-03,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.8571428571428572,0.8333333333333334,0.2,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Los Angeles Chargers,-19.05475413732721,2024-11-10,0.5833333333333334,0.5714285714285714,0.5833333333333334,0.4285714285714286,0.41666666666666663,0.6,0.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Los Angeles Rams,26.039555721399456,2024-11-12,0.5833333333333334,0.7142857142857143,0.5833333333333334,0.2857142857142857,0.41666666666666663,0.8,0.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Miami Dolphins,-9.484745506389654,2024-11-03,0.36363636363636365,0.14285714285714285,0.36363636363636365,0.8571428571428572,0.6363636363636364,0.4,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Michael Irvin Team,10.0,2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota Vikings,49.69397379755118,2024-11-10,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.2857142857142857,0.16666666666666663,0.8,0.8,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
NFC,-61.09850226276855,2024-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New England Patriots,-84.52733876464704,2024-11-10,0.3076923076923077,0.2857142857142857,0.25,0.7142857142857143,0.75,0.2,0.2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
New Orleans Saints,-42.221772262653964,2024-11-10,0.3076923076923077,0.14285714285714285,0.25,0.8571428571428572,0.75,0.4,0.2,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
New York Giants,-126.4924099389233,2024-11-10,0.23076923076923078,0.14285714285714285,0.16666666666666666,0.8571428571428572,0.8333333333333334,0.0,0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
New York Jets,-74.63768345896825,2024-11-10,0.46153846153846156,0.14285714285714285,0.4166666666666667,0.8571428571428572,0.5833333333333333,0.6,0.2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Philadelphia Eagles,80.5426237606694,2024-11-10,0.75,0.8571428571428571,0.75,0.1428571428571429,0.25,0.6,0.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Pittsburgh Steelers,80.14134273910771,2024-11-10,0.5833333333333334,0.7142857142857143,0.5833333333333334,0.2857142857142857,0.41666666666666663,0.6,0.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
San Francisco 49ers,99.86408375069037,2024-11-10,0.5,0.5714285714285714,0.5,0.4285714285714286,0.5,0.6,0.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Seattle Seahawks,7.042468407410988,2024-11-03,0.5,0.2857142857142857,0.5,0.7142857142857143,0.5,0.2,0.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
Tampa Bay Buccaneers,7.639544800948249,2024-11-10,0.46153846153846156,0.2857142857142857,0.4166666666666667,0.7142857142857143,0.5833333333333333,0.2,0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Tennessee Titans,-36.713298981446634,2024-11-10,0.4166666666666667,0.2857142857142857,0.4166666666666667,0.7142857142857143,0.5833333333333333,0.4,0.2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Washington Commanders,-53.04493694813296,2024-11-10,0.6153846153846154,0.7142857142857143,0.6666666666666666,0.2857142857142857,0.33333333333333337,0.8,0.6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
